name,id,annotation_version,gtf_path,fna_path,ensembl_db,source
Danio_rerio,danRer11_Lawson,lawson_4_3_2,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/ROBOINDEX_2025/fna_gtf/5b_V4.3.2finalFixChrOnly.gtf,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/ROBOINDEX_2025/fna_gtf/danRer11chrOnly.fa,,
Danio_rerio,GRCz11,Ens_106,,,drerio_gene_ensembl,ensembl
Mus_musculus,GRCm39,Ens_110,,,mmusculus_gene_ensembl,ensembl
Gallus_gallus,bGalGal1.mat.broiler.GRCg7b,Ens_110,,,ggallus_gene_ensembl,ensembl
Homo_sapiens,GRCh38,Ens_110,,,hsapiens_gene_ensembl,ensembl
Drosophila_melanogaster,BDGP6.46,Ens_110,,,dmelanogaster_gene_ensembl,ensembl
Saccharomyces_cerevisiae,R64-1-1,Ens_110,,,scerevisiae_gene_ensembl,ensembl
Montipora_capitata,Mcap,SIMR_2023,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/SIMR_1_update/GTFs_FNAs/Mcap.clean.gtf,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/SIMR_1_update/GTFs_FNAs/Mcap.genome_assembly.fa,,
Nematostella_vectensis,Nvec200,tcs_v2,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/SIMR_1_update/GTFs_FNAs/Nvec200.tcs_v2.gtf,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/SIMR_1_update/GTFs_FNAs/Nvec200.fa,,
Nematostella_vectensis,nemVec_NV2,nv2m-BETA-2,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/SIMR_1_update/GTFs_FNAs/nemVec_NV2.nv2m-BETA-2.gtf,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/SIMR_1_update/GTFs_FNAs/nemVec_NV2.fa,,
Schmidtea_mediterranea,schMedS3,SIMR_2023,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/SIMR_1_update/GTFs_FNAs/schMedS3.Ens_102.gtf,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/SIMR_1_update/GTFs_FNAs/schMedS3.fa,,
Astyanax_mexicanus,Astyanax_mexicanus-2.0,Ens_110,,,amexicanus_gene_ensembl,ensembl
Astyanax_mexicanus,AstMex3_surface,NCBI_2022,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/SIMR_1_update/GTFs_FNAs/AstMex3_surface.Ens_102.gtf,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/SIMR_1_update/GTFs_FNAs/AstMex3_surface.fa,,
Saccharomycodes_ludwigii,sacLud,NCBI_2021,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/SIMR_1_update/GTFs_FNAs/sacLud.Ens_106.gtf,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/SIMR_1_update/GTFs_FNAs/GCF_020623625.1_UHD_SCDLUD_16_genomic.fna,,
Schizosaccharomyces_pombe,ASM294v2,Ens_fungi_57,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/ROBOINDEX_2023/fna_gtfs/Schizosaccharomyces_pombe.ASM294v2.57.gtf,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/ROBOINDEX_2023/fna_gtfs/Schizosaccharomyces_pombe.ASM294v2.dna.toplevel.fa,,
Nothobranchius_furzeri,Nfu_20140520,Ens_110,,,,ensembl
Escherichia_coli,gca_000485615,Ens_bacteria_117_collection,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/ROBOINDEX_2023/fna_gtfs/Escherichia_coli_110957_gca_000485615.ASM48561v1_.57.gtf,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/ROBOINDEX_2023/fna_gtfs/Escherichia_coli_110957_gca_000485615.ASM48561v1_.dna.toplevel.fa,,
Sinorhizobium_meliloti,gca_000006965,Ens_bacteria_0_collection,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/ROBOINDEX_2023/fna_gtfs/Sinorhizobium_meliloti_1021_gca_000006965.ASM696v1.57.gtf,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/ROBOINDEX_2023/fna_gtfs/Sinorhizobium_meliloti_1021_gca_000006965.ASM696v1.dna.toplevel.fa,,
Phyllostomus_discolor,GCF_004126475.2,NCBI_2023,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/ROBOINDEX_2023/fna_gtfs/GCF_004126475.2_mPhyDis1.pri.v3_genomic.gtf,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/ROBOINDEX_2023/fna_gtfs/GCF_004126475.2_mPhyDis1.pri.v3_genomic.fna,,
Pteronotus_parnellii,GCF_021234165.1,NCBI_2023,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/ROBOINDEX_2023/fna_gtfs/GCF_021234165.1_CSHL_Meso_final_genomic.gtf,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/ROBOINDEX_2023/fna_gtfs/GCF_021234165.1_CSHL_Meso_final_genomic.fna,,
Artibeus_jamaicensis,GCF_021234435.1,NCBI_2023,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/ROBOINDEX_2023/fna_gtfs/GCF_021234435.1_CSHL_Jam_final_genomic.gtf,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/ROBOINDEX_2023/fna_gtfs/GCF_021234435.1_CSHL_Jam_final_genomic.fna,,
Mus_musculus,mm10,Ens_102,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/ROBOINDEX_2023/fna_gtfs/mm10.Ens_102.gtf,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/ROBOINDEX_2023/fna_gtfs/mm10.fa,,
Schmidtea_mediterranea,S2F19H1_PRJNA885486,WBPS18,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/ROBOINDEX_2023/fna_gtfs/schmidtea_mediterranea.S2F19H1_PRJNA885486.WBPS18.canonical_geneset.gtf,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/ROBOINDEX_2023/fna_gtfs/schmidtea_mediterranea.S2F19H1_PRJNA885486.WBPS18.genomic.fa,,
Schmidtea_mediterranea,schMedS3,SIMR_2023,,,,
Schmidtea_mediterranea,smed_20140614_ref,smed_20140614,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/ROBOINDEX_2024/fna_gtfs/smed_20140614_ref.gtf,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/ROBOINDEX_2024/fna_gtfs/smed_20140614_ref.fa,,
Astyanax_mexicanus,astMex_2.0_old,Ens_102,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/ROBOINDEX_2023/fna_gtfs/astMex_2.0.Ens_102.gtf,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/ROBOINDEX_2023/fna_gtfs/astMex_2.0.fa,,
Astyanax_mexicanus,Astyanax_mexicanus-2.0_wEGFP,Ens_110,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/ROBOINDEX_2023/fna_gtfs/Astyanax_mexicanus.Astyanax_mexicanus-2.0.Ens_110.withEGFP.gtf,/n/core/Bioinformatics/analysis/CompBio/boweny/RoboIndex_runFolder/ROBOINDEX_2023/fna_gtfs/Astyanax_mexicanus.Astyanax_mexicanus-2.0.withEGFP.fa,,
